id,authors,title,average_rating,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url
49,Stephenie Meyer,"New Moon (Twilight, #2)",3.52,102837,160660,294207,290612,350684,https://images.gr-assets.com/books/1361039440m/49041.jpg
50,Shel Silverstein,Where the Sidewalk Ends,4.29,16590,30792,139024,293222,544153,https://images.gr-assets.com/books/1168052448m/30119.jpg
51,Cassandra Clare,"City of Bones (The Mortal Instruments, #1)",4.12,34122,65349,203466,356048,582814,https://images.gr-assets.com/books/1432730315m/256683.jpg
52,Stephenie Meyer,"Eclipse (Twilight, #3)",3.69,83094,124293,260763,309358,399134,https://images.gr-assets.com/books/1361038355m/428263.jpg
53,Christopher Paolini,"Eragon (The Inheritance Cycle, #1)",3.86,50563,88536,240157,337943,408032,https://images.gr-assets.com/books/1366212852m/113436.jpg
54,Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,21764,41962,145173,299579,498001,https://images.gr-assets.com/books/1327656754m/11.jpg
55,Aldous Huxley,Brave New World,3.97,26367,60328,219895,389379,383166,https://images.gr-assets.com/books/1487389574m/5129.jpg
56,Stephenie Meyer,"Breaking Dawn (Twilight, #4)",3.7,100994,114893,213402,267706,410714,https://images.gr-assets.com/books/1361039438m/1162543.jpg
57,Sue Monk Kidd,The Secret Life of Bees,4.01,17500,45455,185631,347540,341267,https://images.gr-assets.com/books/1473454532m/37435.jpg
58,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,3.8,28467,76630,255722,344356,296316,https://images.gr-assets.com/books/1405973850m/2956.jpg
59,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,4.15,18450,41124,191415,346090,487763,https://images.gr-assets.com/books/1439632243m/24178.jpg
60,Mark Haddon,The Curious Incident of the Dog in the Night-Time,3.85,21049,58117,218218,355925,262481,https://images.gr-assets.com/books/1479863624m/1618.jpg
61,Paula Hawkins,The Girl on the Train,3.88,27773,73897,273817,488447,362551,https://images.gr-assets.com/books/1490903702m/22557272.jpg
62,Philip Pullman,"The Golden Compass (His Dark Materials, #1)",3.94,38382,64591,198764,313147,380030,https://images.gr-assets.com/books/1451271747m/119322.jpg
63,"Emily Brontë, Richard J. Dunn",Wuthering Heights,3.82,46469,84084,215320,309180,346082,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
64,Jodi Picoult,My Sister's Keeper,4.06,17547,42763,162573,314003,350994,https://images.gr-assets.com/books/1369504683m/10917.jpg
65,Kurt Vonnegut Jr.,Slaughterhouse-Five,4.06,24964,45518,152442,300948,367890,https://images.gr-assets.com/books/1440319389m/4981.jpg
66,Margaret Mitchell,Gone with the Wind,4.28,19996,33136,116160,234290,493721,https://images.gr-assets.com/books/1328025229m/18405.jpg
67,Khaled Hosseini,A Thousand Splendid Suns,4.34,6509,18015,99030,295817,446694,https://images.gr-assets.com/books/1345958969m/128029.jpg
68,Stephen Chbosky,The Perks of Being a Wallflower,4.21,14286,38658,143440,297501,461020,https://images.gr-assets.com/books/1167352178m/22628.jpg
69,Veronica Roth,"Insurgent (Divergent, #2)",4.07,10641,44620,182131,339977,369969,https://images.gr-assets.com/books/1325667729m/11735983.jpg
70,Orson Scott Card,"Ender's Game (Ender's Saga, #1)",4.3,15330,27612,103439,264207,462829,https://images.gr-assets.com/books/1408303130m/375802.jpg
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Frankenstein,3.75,29366,74142,231022,300495,248538,https://images.gr-assets.com/books/1381512375m/18490.jpg
72,Stephen King,The Shining (The Shining #1),4.17,18487,28981,123862,277393,382158,https://images.gr-assets.com/books/1353277730m/11588.jpg
73,Stephenie Meyer,"The Host (The Host, #1)",3.84,44215,62501,154906,227180,288758,https://images.gr-assets.com/books/1318009171m/1656001.jpg
74,John Green,Looking for Alaska,4.09,16940,44232,147324,262932,359857,https://images.gr-assets.com/books/1394798630m/99561.jpg
75,Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)",3.75,28973,59309,198555,254836,212825,https://images.gr-assets.com/books/1292060045m/227443.jpg
76,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,4.06,18430,34699,141987,272512,311754,https://images.gr-assets.com/books/1397245675m/14935.jpg
77,"Louis Sachar, Louis Sachar","Holes (Holes, #1)",3.93,15495,43786,176946,269153,259257,https://images.gr-assets.com/books/1327781893m/38709.jpg
78,Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,24231,58323,192366,226675,178250,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
79,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",The Odyssey,3.73,29703,65629,183082,224120,208223,https://images.gr-assets.com/books/1390173285m/1381.jpg
80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince,4.28,15039,32866,114714,228440,468227,https://images.gr-assets.com/books/1367545443m/157993.jpg
81,Jeannette Walls,The Glass Castle,4.24,7901,18922,85191,227750,298102,https://images.gr-assets.com/books/1400930557m/7445.jpg
82,Jon Krakauer,Into the Wild,3.94,19229,35567,135199,248287,227095,https://images.gr-assets.com/books/1403173986m/1845.jpg
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,3.81,28904,55555,153305,216378,223571,https://images.gr-assets.com/books/1344922523m/1953.jpg
84,Michael Crichton,"Jurassic Park (Jurassic Park, #1)",3.96,15736,34222,138327,231583,230615,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
85,Shel Silverstein,The Giving Tree,4.38,15345,20408,76071,167542,428921,https://images.gr-assets.com/books/1174210942m/370493.jpg
86,John Grisham,A Time to Kill,4.03,12106,25938,122675,218617,229488,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
87,"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1),4.3,7761,18539,90575,230227,360777,https://images.gr-assets.com/books/1473495285m/1617.jpg
88,John Green,Paper Towns,3.88,14105,47183,154479,223895,215609,https://images.gr-assets.com/books/1349013610m/6442769.jpg
89,William Goldman,The Princess Bride ,4.25,12883,21641,89236,196047,338235,https://images.gr-assets.com/books/1327903636m/21787.jpg
90,S.E. Hinton,The Outsiders,4.06,10178,34346,134244,227250,274419,https://images.gr-assets.com/books/1442129426m/231804.jpg
91,James Dashner,"The Maze Runner (Maze Runner, #1)",4.02,15291,43370,150488,266698,302109,https://images.gr-assets.com/books/1375596592m/6186357.jpg
92,"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,14586,26538,115789,216316,176072,https://images.gr-assets.com/books/1327909092m/1202.jpg
93,Frances Hodgson Burnett,The Secret Garden,4.12,8005,25207,129646,243821,285570,https://images.gr-assets.com/books/1327873635m/2998.jpg
94,"Gabriel García Márquez, Gregory Rabassa",One Hundred Years of Solitude,4.04,27340,37646,87675,155809,267197,https://images.gr-assets.com/books/1327881361m/320.jpg
95,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,4.06,9825,30735,129420,246892,257679,https://images.gr-assets.com/books/1424596966m/5297.jpg
96,E.L. James,"Fifty Shades Freed (Fifty Shades, #3)",3.88,39079,55691,109963,140304,265079,https://images.gr-assets.com/books/1336418837m/13536860.jpg
97,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,3.98,11756,36719,151396,246043,243825,https://images.gr-assets.com/books/1387151694m/17245.jpg
98,"Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)",4.22,4623,15781,91021,258236,279592,https://images.gr-assets.com/books/1351778881m/5060378.jpg
99,E.L. James,"Fifty Shades Darker (Fifty Shades, #2)",3.87,37245,58935,114203,150906,262051,https://images.gr-assets.com/books/1358266080m/11857408.jpg
100,Barbara Kingsolver,The Poisonwood Bible,4.02,21699,33702,92590,175725,239071,https://images.gr-assets.com/books/1412242487m/7244.jpg
101,David Sedaris,Me Talk Pretty One Day,3.97,19718,29034,93427,178021,194076,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
102,Maurice Sendak,Where the Wild Things Are,4.22,15392,27532,93700,167043,332394,https://images.gr-assets.com/books/1384434560m/19543.jpg
103,"Alexandre Dumas, Robin Buss",The Count of Monte Cristo,4.21,10381,22482,89980,183142,295235,https://images.gr-assets.com/books/1309203605m/7126.jpg
104,Cormac McCarthy,The Road,3.95,20086,36561,100989,190823,207328,https://images.gr-assets.com/books/1439197219m/6288.jpg
105,Veronica Roth,"Allegiant (Divergent, #3)",3.63,31626,78366,176061,192785,184388,https://images.gr-assets.com/books/1395582745m/18710190.jpg
106,Tina Fey,Bossypants,3.94,14842,31761,129390,230080,203187,https://images.gr-assets.com/books/1481509554m/9418327.jpg
107,Nicholas Sparks,A Walk to Remember,4.15,10640,24094,94327,169650,260870,https://images.gr-assets.com/books/1385738968m/3473.jpg
108,Sophie Kinsella,"Confessions of a Shopaholic (Shopaholic, #1)",3.61,30705,56949,156636,166927,146787,https://images.gr-assets.com/books/1327872404m/9416.jpg
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,4.14,15225,25914,87461,167385,264147,https://images.gr-assets.com/books/1411852091m/24280.jpg
110,George R.R. Martin,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,1788,7104,56167,221706,320000,https://images.gr-assets.com/books/1358254974m/10572.jpg
111,Kim Edwards,The Memory Keeper's Daughter,3.64,19453,47004,145437,183150,115538,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
112,Jojo Moyes,"Me Before You (Me Before You, #1)",4.27,10346,21880,91517,249474,367916,https://images.gr-assets.com/books/1357108762m/15507958.jpg
113,Joseph Heller,Catch-22,3.98,20639,37912,106269,186745,230950,https://images.gr-assets.com/books/1463157317m/168668.jpg
114,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,4.06,11507,30534,107446,194448,240462,https://images.gr-assets.com/books/1423763749m/6900.jpg
115,Jeffrey Eugenides,Middlesex,3.98,19329,30503,89740,171099,197327,https://images.gr-assets.com/books/1437029776m/2187.jpg
116,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,3.89,12130,34349,143659,217896,186192,https://images.gr-assets.com/books/1404811979m/24583.jpg
117,Madeleine L'Engle,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,17313,34988,119115,209745,268933,https://images.gr-assets.com/books/1329061522m/18131.jpg
118,Amy Tan,The Joy Luck Club,3.9,14802,30197,116748,195930,167566,https://images.gr-assets.com/books/1304978653m/7763.jpg
119,Margaret Atwood,The Handmaid's Tale,4.06,13998,32561,116975,252942,267088,https://images.gr-assets.com/books/1498057733m/38447.jpg
120,Ann Brashares,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,14996,42396,152024,177404,149784,https://images.gr-assets.com/books/1461611233m/452306.jpg
121,"Vladimir Nabokov, Craig Raine",Lolita,3.88,21091,37205,108664,165477,185553,https://images.gr-assets.com/books/1377756377m/7604.jpg
122,"Gregory Maguire, Douglas Smith","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,40802,65835,132061,153583,133217,https://images.gr-assets.com/books/1437733293m/37442.jpg
123,John Grisham,"The Firm (Penguin Readers, Level 5)",3.99,5075,20119,111543,190966,160652,https://images.gr-assets.com/books/1418465200m/5358.jpg
124,Emma Donoghue,Room,4.03,11020,26079,99831,217995,201402,https://images.gr-assets.com/books/1344265419m/7937843.jpg
125,"William Shakespeare, Richard Andrews, Rex Gibson",Hamlet,4.0,10413,32697,121040,192937,219807,https://images.gr-assets.com/books/1351051208m/1420.jpg
126,Frank Herbert,Dune (Dune Chronicles #1),4.19,13354,22778,74206,154771,260867,https://images.gr-assets.com/books/1434908555m/234225.jpg
127,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,3.92,15111,25871,106453,189120,162511,https://images.gr-assets.com/books/1473396980m/2612.jpg
128,Walter Isaacson,Steve Jobs,4.09,19680,21986,88456,203975,245159,https://images.gr-assets.com/books/1327861368m/11084145.jpg
129,Ken Kesey,One Flew Over the Cuckoo's Nest,4.18,5672,15978,78714,191622,222472,https://images.gr-assets.com/books/1485308778m/332613.jpg
130,Ernest Hemingway,The Old Man and the Sea,3.73,28645,52583,136217,186747,170136,https://images.gr-assets.com/books/1329189714m/2165.jpg
131,John Steinbeck,The Grapes of Wrath,3.92,23552,40261,103475,173589,212475,https://images.gr-assets.com/books/1352912927m/4395.jpg
132,Mitch Albom,The Five People You Meet in Heaven,3.9,12360,33669,107800,155830,165040,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
133,L.M. Montgomery,"Anne of Green Gables (Anne of Green Gables, #1)",4.23,8864,19531,80256,158725,265976,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
134,Cassandra Clare,"City of Glass (The Mortal Instruments, #3)",4.34,6646,17351,79202,179290,348071,https://images.gr-assets.com/books/1369452339m/3777732.jpg
135,George R.R. Martin,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54,1456,4820,36418,149268,335682,https://images.gr-assets.com/books/1497931121m/62291.jpg
136,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,3.79,15795,35314,120396,158451,140552,https://images.gr-assets.com/books/1408313524m/137791.jpg
137,Diana Gabaldon,"Outlander (Outlander, #1)",4.2,20998,27673,73126,147085,309960,https://images.gr-assets.com/books/1402600310m/10964.jpg
138,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter,3.37,34813,80444,182701,165079,96209,https://images.gr-assets.com/books/1404810944m/12296.jpg
139,Ransom Riggs,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89,14920,45434,159227,234792,217849,https://images.gr-assets.com/books/1472782916m/9460487.jpg
140,"Stieg Larsson, Reg Keeland","The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2,3823,14773,78387,203297,226511,https://images.gr-assets.com/books/1327708260m/6892870.jpg
141,Andy Weir,The Martian,4.39,4114,10856,49200,173861,291671,https://images.gr-assets.com/books/1413706054m/18007564.jpg
142,Ken Follett,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29,9248,16886,57825,148052,263882,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
143,Anthony Doerr,All the Light We Cannot See,4.31,6209,14527,61020,185239,280832,https://images.gr-assets.com/books/1451445646m/18143977.jpg
144,Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,10308,12874,47828,144203,313339,https://images.gr-assets.com/books/1327861115m/8664353.jpg
145,Dan Brown,Deception Point,3.67,14380,45006,143182,160819,116346,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
146,Donna Tartt,The Goldfinch,3.87,19164,35300,93459,153459,162465,https://images.gr-assets.com/books/1451554970m/17333223.jpg
147,Jay Asher,Thirteen Reasons Why,4.02,15246,35668,105414,179197,235756,https://images.gr-assets.com/books/1333822506m/1217100.jpg
148,Tracy Chevalier,Girl with a Pearl Earring,3.85,11525,28287,123463,189656,139246,https://images.gr-assets.com/books/1327197580m/2865.jpg
149,Gayle Forman,"If I Stay (If I Stay, #1)",3.96,12666,34896,122977,190793,205755,https://images.gr-assets.com/books/1347462970m/4374400.jpg
150,Anita Diamant,The Red Tent,4.16,9470,19616,67878,146178,206075,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
151,Rick Riordan,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23,2967,13884,91127,188988,253546,https://images.gr-assets.com/books/1400602661m/28186.jpg
152,Nicholas Sparks,Dear John,4.01,9683,25220,94711,145202,179965,https://images.gr-assets.com/books/1397749854m/5526.jpg
153,Cassandra Clare,"City of Ashes (The Mortal Instruments, #2)",4.21,6135,20075,92626,192934,274238,https://images.gr-assets.com/books/1432730356m/1582996.jpg
154,William Shakespeare,Macbeth,3.88,10551,35408,127354,183871,167642,https://images.gr-assets.com/books/1459795224m/8852.jpg
155,J.R.R. Tolkien,"The Two Towers (The Lord of the Rings, #2)",4.42,3013,10264,55433,156232,307267,https://images.gr-assets.com/books/1298415523m/15241.jpg
156,Emily Giffin,"Something Borrowed (Darcy & Rachel, #1)",3.83,16019,29297,104322,148507,137044,https://images.gr-assets.com/books/1305063535m/42156.jpg
157,"Dr. Seuss, לאה נאור",Green Eggs and Ham,4.29,6605,14530,66873,121751,251282,https://images.gr-assets.com/books/1468680100m/23772.jpg
158,"Roald Dahl, Quentin Blake","Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1,6236,17193,94240,178216,198862,https://images.gr-assets.com/books/1309211401m/6310.jpg
159,Rick Riordan,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39,2435,8093,62108,172289,292783,https://images.gr-assets.com/books/1443142158m/2120932.jpg
160,Charles Dickens,Great Expectations,3.75,22811,44293,120385,170702,148996,https://images.gr-assets.com/books/1327920219m/2623.jpg
161,J.R.R. Tolkien,"The Return of the King (The Lord of the Rings, #3)",4.51,2691,8008,42693,132149,324996,https://images.gr-assets.com/books/1389977161m/18512.jpg
162,"Albert Camus, Matthew    Ward",The Stranger,3.96,10563,28920,100140,174957,169043,https://images.gr-assets.com/books/1349927872m/49552.jpg
163,Rick Riordan,"The Lost Hero (The Heroes of Olympus, #1)",4.35,5020,11267,58590,148498,266120,https://images.gr-assets.com/books/1464201003m/7736182.jpg
164,Rainbow Rowell,Eleanor & Park,4.11,12904,26371,94470,196224,249784,https://images.gr-assets.com/books/1341952742m/15745753.jpg
165,George R.R. Martin,"A Feast for Crows (A Song of Ice and Fire, #4)",4.1,3170,18574,94401,175973,189012,https://images.gr-assets.com/books/1429538615m/13497.jpg
166,Ally Condie,"Matched (Matched, #1)",3.68,24343,53804,138030,165412,149091,https://images.gr-assets.com/books/1367706191m/7735333.jpg
167,Neil Gaiman,"American Gods (American Gods, #1)",4.11,9888,24944,83253,178346,221912,https://images.gr-assets.com/books/1258417001m/4407.jpg
168,"Stephen King, Bernie Wrightson",The Stand,4.34,5647,13612,56722,134098,259874,https://images.gr-assets.com/books/1213131305m/149267.jpg
169,Nicholas Sparks,The Last Song,4.14,7253,17803,77712,140241,195420,https://images.gr-assets.com/books/1286549186m/6400090.jpg
170,Dan Brown,Digital Fortress,3.6,16592,47507,136196,144029,103179,https://images.gr-assets.com/books/1360095966m/11125.jpg
171,"Jane Austen, Fiona Stafford",Emma,3.99,11386,25777,102144,178238,180404,https://images.gr-assets.com/books/1373627931m/6969.jpg
172,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Anna Karenina,4.02,11738,26945,88365,158179,187569,https://images.gr-assets.com/books/1352422904m/15823480.jpg
173,Anthony Burgess,A Clockwork Orange,3.98,14741,24244,84863,163488,167055,https://images.gr-assets.com/books/1348339306m/227463.jpg
174,William Paul Young,The Shack,3.74,35734,42977,84751,111923,162907,https://images.gr-assets.com/books/1344270232m/1812457.jpg
175,Rick Riordan,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.5,2098,6501,45208,133168,312535,https://images.gr-assets.com/books/1327924597m/4502507.jpg
176,Stephen King,It,4.18,8464,19610,75841,148672,226794,https://images.gr-assets.com/books/1309376909m/18342.jpg
177,"Fyodor Dostoyevsky, David McDuff",Crime and Punishment,4.18,9477,20078,64050,137104,213966,https://images.gr-assets.com/books/1382846449m/7144.jpg
178,Sylvia Plath,The Bell Jar,3.98,8266,23983,92408,162216,155284,https://images.gr-assets.com/books/1473890514m/6514.jpg
179,Frank McCourt,"Angela's Ashes (Frank McCourt, #1)",4.07,7657,18327,73550,155775,164437,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
